Chinese,English
的,of
我,I
你,you
了,Over
是,Yes
在,exist
我們,us
他,he
嗎,?
不,Do not
и,bleak
有,Have
說,Say
好,it is good
就,At once
吧,Bar
她,she
來,Come
知道,Know
都,All
什麼,what
對,right
去,go
也,also
很,very
啊,what
要,want
他們,them
琌,Bleak
那,That
人,people
沒,No
為,for
會,meeting
和,and
想,think
ぃ,Bleak
讓,Let
把,Bundle
不是,no
到,arrive
做,Do
一個,One
這,This
什么,what
得,have to
l,L
跟,and
可以,Can
上,superior
但,but
硂,Bleak
呢,Woolen cloth
這個,this
個,indivual
走,Walk
就是,that is
τ,bleak
看,Look
能,can
這是,This is
這樣,so
怎麼,how
如果,if
們,People
被,quilt
你們,you
或,or
事,thing
聽,listen
誰,Who
自己,Own
現在,Now
從,from
不會,Won't
真的,real
它,it
因為,because
沒有,No
ㄓ,Bleak
話,talk
璶,Bleak
著,Be
死,die
不能,cannot
謝謝,thanks
再,Again
先生,gentlemen
告訴,Tell
you,you
不要,don't want
妳,you
後,back
別,do not
the,the
只是,only
需要,need
快,quick
那個,that
m,m
ê,bleak
像,picture
叫,Call
穦,Bleak
該,Should
時候,when
可能,possible
i,I
碞,cliff
但是,but
所以,so
ぐ,Bleak
又,again
喜歡,like
見,See
找,Find
還有,and also
等,Wait
請,Please
我要,I want
這裡,here
一下,a bit
已經,already
一起,Together
這些,These
怎么,how
哦,Oh
裏,inside
盾,shield
才,talent
您,you
多,many
問題,question
殺,kill
還是,still
我會,I can
錢,money
孩子,child
看到,See
而,and
這麼,so
馬,horse
東西,thing
a,A
一樣,Same
應該,should
to,to
吃,eat
帶,bring
幫,help
弧,arc
工作,Work
笵,bamboo mold
時間,time
沒事,fine
用,use
哪,where
一定,must
稱,say
朋友,friend
開始,start
有人,Someone
s,S
嘿,Hey
希望,hope
啦,La
看看,have a look
回來,return
找到,turn up
嗯,Um
今天,today
長,long
地方,place
一直,Always
眔,Bleak
當然,certainly
於,At
不想,In no mood
抱歉,Feel sorry
最,most
筁,Bleak
天,sky
那些,Those ones
拿,take
ㄆ,Bleak
中,middle
以,by
可,Can
下,Down
真,real
你好,Hello
打,beat
只,Only
更,Even
所有,all
相信,Believe
那麼,So
起來,stand up
真是,Really
癸,Dwarf
it,IT
一切,everything
明白,clear
大家,Everyone
事情,matter
不起,Be unable to afford
爸爸,dad
時,Time
不過,but
覺得,feel
非常,Very
想要,want to
临,Go
發生,occur
大,Big
一,one
愛,Love
年,year
必須,must
呀,ah
與,and
準備,Prepare
倒,fall
媽媽,Mother
嘛,Well
ネ,Bleak
認為,think
比,Compare
離開,leave
and,and
妓,prostitute
這里,here
意思,mean
沒錯,Right
一點,a little
秨,Bleak
這兒,here
that,that
痷,Bleak
of,OF
太,too
跑,run
過來,come over
這種,This
已,already
翴,Bleak
常,often
只有,only
一次,once
ぱ,Bleak
拜,bye
快點,hurry up
摆,put
女人,woman
t,T
幹,Dry
р,bleak
不用,Need not
感覺,Feel
之前,Before
世界,world
可是,But
之,Of
pos,POS
發現,Find
辦,manage
瞷,Bleak
而且,and
一些,Some
很多,a lot of
向,Towards
出去,go out
小,Small
噢,Oh
等等,and many more
嗨,Hi
е,bleak
不行,no
出來,come out
任何,any
那樣,That way
名字,name
月,moon
生活,Life
住,live
兩個,two
地,land
開,open
卻,but
他媽,His mother
認識,know
喂,Hey
如何,how
我覺,I felt
ǐ,pilot
到底,in the end
肯定,affim
里,inside
琵,lute
擔心,Worry
最好,most
癬,Ringworm
怎樣,how
所,Place
羅,Luo
是不是,is not it
父親,Father
男人,man
前,forward
有點,A bit
重要,important
好像,like
in,in
暗,dark
懂,Understand
電話,Telephone
不錯,good
繼續,continue
買,purchase
官,official
親愛的,Honey
is,IS
要是,if
只要,if only
這么,so
錯,wrong
明天,tomorrow
回家,go home
得到,get
吹,blow
給我,give me
we,wee
ㄇ,Bleak
み,Bleak
正在,In
新,new
上帝,God
小姐,Miss
b,B
也許,Maybe
醫生,doctor
今晚,tonight
多少,How many
先,First
哪兒,where
寫,Write
哪裡,where
以前,before
它們,they
礛,Bleak
係,Tie
me,me
再見,goodbye
回去,go back
出,out
警察,police
怎麼樣,How about it
完全,completely
も,Bleak
ǎ,ǎ
ㄠ,Bleak
what,What
т,bleak
ゴ,Bleak
不到,Be unable to
記得,Remember
放,put
我能,I can
安全,Safety
女孩,girl
種,kind
那裡,There
兒子,son
還好,fine
蛤,Clam
ノ,Bleak
如此,in this way
復,complex
掉,Lose
不管,in spite of
其他,other
fn,FN
び,Bleak
い,い
聽著,listen
弄,alley
搞,Do
小心,Be careful
送,deliver
說過,Say
祇,Only
情況,Happening
喔,Oh
行,Row
產,Produce
那么,So
站,stand
狦,Bleak
好好,well
兄弟,brother
我來,I come
公司,company
結束,Finish
傢,Family
總,total
根本,fundamental
pro,pro
ρ,bleak
一天,one day
或者,or
進來,Come in
subhead,subhead
fncronos,fncronos
點,point
處,Place
確定,Sure
on,on
槍,gun
然后,Then
清楚,clear
this,this
高興,Happy
我現,I am present
機會,Chance
決定,Decide
穿,Put on
玡,Bleak
讽,Irony
託,Entrust
老,old
玩,Play
稲,Bleak
杠,Bars
家,Family
ウ,Bleak
he,he
混蛋,asshole
辦法,Method
歲,age
寶貝,baby
有些,some
方正,Square
女兒,daughter
睡,sleep
帝,emperor
其實,actually
手,hand
派,group
無法,Unable to
喝,drink
那邊,there
完,Finish
不了,Be unable to
ó,
竒,Bleak
女士,Miss
忘,forget
for,deor
伙,Partner
your,YOUR
猭,ape
坐,sit
每個,Every
軍,military
no,NO
過去,past
回事,Deepen
my,my
克,gram
街,street
晚上,night
砆,agate
歡迎,welcome
美國,U.S.
我想,I think
進去,Go in
钩,hook
還在,Still
麽,What's wrong?
另,Other
瘋,Crazy
眖,Bleak
成為,become
疭,Bleak
程,Procedure
唯一,only
幹什麼,What to do
救,save
就要,To
幫助,help
干,Dry
不好,not good
麻煩,trouble
筿,Bleak
這次,this time
故事,story
改變,Change
打算,Intend
接受,accept
鬼,ghost
丁,Ding
have,have
ぇ,Bleak
由,Depend on
我们,us
約,about
房子,house
看來,Seem
was,was
生命,life
玩笑,joke
蹤,trace
θ,θ
not,not
漂亮,pretty
谋,seek
よ,Bleak
忙,busy
笑,laugh
秈,Bleak
re,render
留下,Leave
be,BE
曾,Once
還,return
那兒,there
注意,Notice
樣,Sample
獺,otter
真正,real
衣服,clothing
害怕,Fear
礚,Bleak
倆,both
計劃,plan
待,treat
第一,First
成功,success
下去,Go on
選擇,choose
禗,Bleak
爸,dad
夢,Dream
岿,Bleak
哇,Wow
母親,Mother
當時,then
保護,Protect
甚至,even
還要,Still
這件,this
各位,Everyone
诀,Tactics
有個,is having a
那種,That kind
タ,Bleak
are,be
ω,ω
do,DO
才能,Talent
壞,Bad
此,this
感謝,grateful
繷,Bleak
赣,Gan
想到,think
夫人,lady
失去,lose
太好了,Great
不同,different
無,none
這邊,Here
危險,Danger
幾個,several
達,Reach
拍,shoot
出現,Appear
很快,soon
回到,Return
笆,fence
回,Return
事實,fact
can,can
內,Inside
總統,president
原因,reason
隻,Only
ゑ,Bleak
呃,Uh
而已,Just
舧,Bleak
外面,Outside
all,all
人們,people
別人,other people
一種,A sort of
并,and
至少,At least
結婚,marry
身上,On the body
開心,happy
雖然,Although
薄,Thin
保證,ensure
幫忙,help
know,Know
變成,become
盿,Bleak
钮,button
狗,dog
妻子,wife
是否,whether
粄,Bleak
挺,quite
太太,Mrs
だ,Bleak
我給,I give
收到,receive
抓,Grasp
大人,grown ups
下來,Down
那里,There
腊,Bald
或許,perhaps
房間,Room
猜,Guess
稰,Bleak
閉嘴,To shut up
眼睛,Eye
只能,Only
消息,information
狥,Bleak
谅谅,Forgive
尺,ruler
照片,photo
with,with
永遠,forever
進行,conduct
奇怪,strangeness
談,talk
然,But
處理,deal with
fnmicrosoft,fnmitrosoft
像是,Like
比賽,Contest
萬,Ten thousand
but,but
just,just
賣,Sell
沒什麼,nothing
起,rise
完成,Finish
特別,special
打電話,Call up
他會,He can
難道,Not
結果,result
紈,white silk
so,so
恨,hatred
行動,action
最近,recent
剛剛,just
稦,Bleak
哪里,where
don,don
沒人,no one
難,Disaster
啥,What
臉,Face
靠,Depend on
談談,Talk
給,Give
吗,?
一件,One piece
你現,You
玂,Bleak
惠,benefit
μ,μ
ㄢ,Bleak
整個,entire
了解,learn
沒關,Not closed
there,pr
飯,meal
心,Heart
老師,teacher
努力,effort
感到,feel
學校,School
后,back
不好意思,Excuse me
就算,Even
第一次,the first time
炳,Dazzling
瞶,Bleak
直到,until
些,some
小時,Hour
多久,how long
解決,solve
存在,exist
求,beg
上面,above
路,road
小孩,Child
they,theny
聲音,sound
裡,inside
所有人,Owner
セ,Bleak
同意,agree
書,Book
腳,foot
洱,Paperous
有什麼,have what
死亡,die
要求,Require
晚安,Good night
號,No
給你,Give you
边,side
そ,Bleak
瞭解,learn
輕,light
单,one
國家,nation
丈夫,husband
人類,Humanity
兒,Son
主意,idea
除了,Apart from
ね,Bleak
跳,Jump
剛才,Just now
簡單,Simple
參加,join
拉,pull
調查,investigation
自由,free
さ,Bleak
簡體,Simplified
約翰,John
解釋,explain
戰爭,war
ч,bleak
翻譯,translate
フ,Bleak
陪,accompany
武器,arms
快樂,hapiness
焊,weld
小子,Little boy
理解,understand
突然,Sudden
耶,yeah
ō,ō
討厭,Hate
容易,easy
老婆,Wife
家人,family
控制,control
不再,no longer
全部,all
製,system
有趣,interesting
砛,Bleak
考慮,consider
高,high
回答,Reply
瓣,valve
離,Leave
目標,Target
一位,One
鬆,loose
字幕,subtitle
皑,Snow -covered
傷害,harm
替,for
大概,perhaps
打開,Open
ń,bleak
看著,Look at
看見,see
久,Long
方式,Way
地球,Earth
秘密,secret
你會,You can
追,Chase
父母,parents
加油,come on
盽,Bleak
放在,Put in
龟,turtle
不見,not see
直接,direct
樣子,Look
早上,Morning
醫院,Hospital
日,day
最后,at last
做到,Achieve
見過,Met
么,What's wrong?
抓住,catch
每天,every day
保持,Keep
電影,Movie
公室,Room
更好,better
確實,really
娩,delivery
進,Enter
瞒,conceal
昨晚,last night
進入,Enter
here,here
盡,Fully
還沒,not yet
放下,lay down
照顧,take care of
任何人,anyone
休息,rest
咱們,we
right,Right
使,Make
拿到,Get
髮,send
之間,between
瓳,Bleak
早,morning
留在,Stay
不然,otherwise
過,Pass
其他人,other people
媽的,Oh shit
飛機,airplane
若,like
絕對,absolute
身體,Body
she,she
通過,pass
like,like
ㄤ,Bleak
get,get
逼,force
蔼,Kind
博士,PhD
坐下,sit down
任務,Task
停下,Stop
闽,Fujian
滾,roll
肈,Bleak
無論,regardless
很棒,great
看起,Look
停,stop
人生,Life
钡,barium
其中,in
想法,idea
é,é
阻止,Prevent
one,one
代表,represent
力量,strength
試試,Try
正,just
作為,Be
媽,mom
牡,male
厩,stable
out,out
這位,this
老天,God
自,since
分鐘,minute
睡覺,sleep
窥,peep
想想,Think about
秆,stalk
這事,This issue
哥哥,elder brother
重新,again
癘,Bleak
糟糕,Oops
命令,Order
偷,steal
還能,Still
管,Tube
能夠,were able
ヴ,Bleak
贺,Congratulate
up,UP
罢,stop
城市,City
花,flower
go,GO
怕,afraid
盢,Bleak
什,Varied
生日,Birthday
琩,Bleak
加入,join in
碰,bump
方法,method
便,Be
穝,Bleak
d,D
未來,future
狟,Bleak
太棒了,awesome
呆,stay
政府,government
否則,otherwise
干什么,What to do
ン,ン ン
消失,disappear
坐在,Sit in
三,three
有事,Have something to do with
ェ,Bleak
咖啡,coffee
原諒,forgive
報告,Report
原來,turn out to be
三個,Three
檢查,an examination
看過,Seen
餓,hungry
越,cross
材,material
騙,cheat
家庭,family
哈,what
紐約,New York
本,Book
克斯,Chips
冷靜,calm
身邊,Beside
男孩,boy
厲害,sharp
at,AT
ゲ,Bleak
正常,normal
那天,That day
之后,after
昨天,yesterday
謝,Thanks
痛苦,pain
水,water
不可,Not
来,Come
變得,Become
亂,chaos
次,Second-rate
證明,prove
負責,Responsible
隨便,casual
簀,Bleak
甚麼,what
yeah,Yeah
ら,Bleak
辨,Discern
麼,What's wrong?
上去,Go up
我剛,I just
你給,you give
about,About
美,nice
一場,One game
搶,grab
再也,Voyage
爾,you
癡,Be infatuated
獶,Bleak
研究,Research
ぶ,Bleak
ll,LL
这,This
可怕,horrible
yahei,yahei
開車,drive
道,road
附近,nearby
開槍,shot
每,Every
if,if
矪,Bleak
我家,my home
絋,Bleak
老兄,Man
璸,pearl
干嘛,what
第,First
柑,Mandarin
似乎,seem
ν,bleak
成,to make
him,him
未,not yet
ち,Bleak
當,when
教,teach
完美,Perfect
機器,machine
黃,yellow
反正,Anyway
怪,Strange
以及,as well as
祝,wish
夥計,Gang
女,Female
will,will
挡,block
國王,king
較,Compare
必要,necessary
now,now
恩,kindness
叔叔,uncle
r,R
隔,Separate
说,Say
總是,always
臺,tower
擁有,have
即使,even though
攻擊,attack
哭,cry
遇到,meet
一年,One year
兩,two
位置,Location
米,Meter
糑,Bleak
因此,therefore
發誓,swear
除非,unless
as,AS
我還,I still
操,Hold
使用,use
或是,Either
系統,system
船,ferry
chffffff,chffffff
案子,case
г,bleak
停止,stop
放棄,give up
白,White
安排,arrange
一條,One
瘋狂,crazy
遠,Far
面,noodle
食物,food
尿,Urine
聽到,Hear
夠了,enough
理由,reason
打擾,disturb
初,early
簆,Bleak
支持,support
oh,OH
住手,stop
簡直,simply
表演,Performance
鑰匙,key
信任,trust
沖,rush
闆,plate
信,letter
ア,Kettle
how,how
奔,Run
放開,open
銀行,bank
甡,Bleak
裡面,in
早就,Early
from,from
音樂,music
發,send
陛下,His Majesty
妹妹,younger sister
身份,identity
而是,But
間,between
目前,Currently
證據,evidence
搞定,Do
傑克,Jack
her,her
姐姐,elder sister
日子,day
不知,Unknown
下面,under
塊,piece
英雄,hero
接,catch
螟,Bleak
碭,Bleak
る,Bleak
come,COME
堅持,persist in
不必,No need
眤,Bleak
羆,brown bear
記住,remember
還沒有,not yet
錯誤,mistake
隊,team
砰,boom
慢慢,Slowly
繫,Tie
道歉,Apologize
面前,before
姑娘,girl
瞧,Look at
可不,Not
為何,Why
斯,San
二,two
拜托,Ask
賺,earn
估,estimate
场,field
硄,Bleak
瓁,Bleak
got,GOT
全都,all
有關,related
老爸,Dad
城,city
在家,at home
還記,Remember
酒,liquor
受傷,Injuried
分,Minute
當我,When I
矹,Bleak
曾經,once
唱,Sing
往,Past
電視,television
弟弟,younger brother
聰明,clever
下次,next time
手機,cell phone
星期,Week
記錄,Record
砍,cut
金,gold
差不多,almost
ひ,Bleak
提供,supply
精神,Spirit
將會,will
会,meeting
衡,Balance
願意,willing
監獄,prison
開門,Open the door
爆炸,explode
接下,Follow up
居然,Actually
窾,hollow
中心,center
正是,Exactly
真相,the truth
交給,Give to
拒絕,reject
可不是,Not
畍,Bleak
每次,every time
他们,them
一份,One
遊戲,game
受,by
の,No
見面,Meet
受到,Suffer
ㄈ,Bleak
能力,ability
毕,complete
打給,Give
動,verb: move
嘴,mouth
本來,originally
想像,imagine
別動,do not move
糟,Bad
還活,Alive
包,Bag
通知,Notice
可憐,Pitiful
令人,Exciting
既然,now that
利用,use
敵人,enemy
屁股,butt
首先,first
事件,event
十分,very
瞴,Bleak
囉,Cricket
綁,tie
家伙,Guy
算,Calculate
腹,belly
另外,in addition
里面,in
睲,Bleak
一个,One
現場,on site
很大,Great
好吃,good to eat
再來,Come again
複,complex
霉,mold
忘記,forget
教授,professor
影響,influences
組織,organize
嚴重,serious
值得,worth
美元,Dollar
c,C
聯,Linked
第二,second
路上,On the road
按,according to
律師,lawyer
不如,Not as good as
ガ,Bleak
愿意,willing
剩下,remain
安,install
禮物,Gift
幸福,happiness
看上去,Look
躲,hide
一名,One
法律,law
遺憾,Pity
哪個,Which one
最大,maximum
幹嘛,what
腿,leg
well,Well
生意,Business
想起,Remember
狝,Bleak
生氣,angry
傻,Silly
钉,nail
不覺,Unknowingly
好多,many
see,SEE
救命,Help
舒服,Comfortable
實話,truth
關系,relation
差,Difference
警官,police officer
羘,Bleak
意外,Accident
靡,extravagant
ve,VE
洛,Macaron
き,Bleak
ī,over
老大,Boss
樓,building
緊張,nervous
戴,wore
跳舞,Dance
正確,correct
笨蛋,Fool
ъ,bleak
棒,Great
搭,take
呼吸,breathe
組,Group
信息,information
行為,Behavior
want,want
黑体,Black body
再次,again
車,car
宇宙,universe
同時,at the same time
日本,Japan
合作,Cooperation
上次,Last time
賭,bet
琍,Stun
出發,Set off
玩意,Gesture
镑,pound
一般,generally
感受,Feel
訓練,train
驹,Foal
竟,actually
這就,This
交易,trade
答案,Answer
一步,step
酒吧,bar
不夠,not enough
新聞,news
不在乎,not give a damn about
答應,promise
緊,tight
who,who
別說,Don't say
阿,San
關心,care
笷,Bleak
氨,ammonia
は,Bleak
端,end
鐘,bell
查理,Charlie
丹尼,Danny
摸,touch
立刻,immediately
自殺,suicide
his,his
牠,it
之一,one
威脅,threaten
ぺ,Bleak
ユ,Bleak
幾乎,almost
學習,study
扔,Throw
飛,fly
于,At
莱赣,Lai Gan
て,Bleak
懷疑,Suspect
目的,Purpose
黑體,Black body
機,machine
尋找,Look for
還會,Still
字,Character
副,vice
客氣,polite
简体,Simplified
喝酒,drink wine
did,DID
求求,please
一段,Section
佈,cloth
等待,wait
神,god
伙計,Gang
禲,Bleak
做出,Make
動物,animal
實際,actual
怎么回事,what happened
算了,never mind
皊,Bleak
一會兒,For a while
time,time
享受,enjoy
揪,Hold
失敗,fail
an,an AN
真實,reality
一家,Family
德,Virtue
適合,Suitable for
比如,for example
張,open
ル,ル
think,Think
加,add
人家,Family
號碼,Number
歷史,history
你媽,Your mother
男,male
變,Change
客人,guest
毙,shoot
垛,pile
仍,still
活,live
痙,spasm
谅,Forgive
恭喜,Congratulations
借,borrow
方向,direction
人民,people
一旦,once
let,let
士兵,Soldier
竟然,it turns out
好人,Good person
美好,good
接近,near
經過,go through
趁,take advantage of
顯然,Obviously
幸運,Lucky
喬治,George
躺,lie
大學,the University
血,Blood
仍然,still
安娜,Anna
沒法,Unable to
孽,evil
年前,A few years ago
討論,discuss
那時,Then
警告,warn
治療,treat
喬,Churnt
when,when
沒用,Useless
活著,Alive
一生,lifetime
應,answer
反,opposite
晚餐,dinner
其,That
贾,Shot
us,USS
欠,owe
女朋友,girlfriend
還以,Also to
莱,Landslide
失,lose
雞,chicken
一邊,One side
犯罪,crime
酚,phenol
臔,Bleak
哎,Hey
would,wood
同樣,same
軍隊,army
家族,family
good,good
ヘ,Bleak
搬,move
藏,Tibetan
美麗,beauty
ず,Bleak
婊子,Bitch
味道,smell
方面,aspect
our,OUR
婚禮,wedding
文件,document
戳,stamp
γ,γ
黑暗,dark
撞,Collide
卡,Card
笲,osier basket of brides
拯救,save
及,and
只會,Only
反應,reaction
ok,OK
指,refer to
活動,Activity
電腦,computer
部分,part
記憶,memory
敢,dare
恐怕,I am afraid
黑,black
資料,material
隨時,at any time
不該,Not
穌,Saga
我媽,my mother
給他,give him
遲到,be late
帶來,bring
没有,No
癳,Bleak
建議,Suggest
why,why
早上好,Good morning
趕快,hurry up
晚,Night
允許,allow
多謝,Thank you
有用,it works
如,like
where,where
自然,nature
彼得,Peter
出生,born
算是,Be regarded as
綜藝,Variety show
現,now
關于,about
趕緊,Hurry up
狀況,situation
不得不,have to
公主,Princess
酒店,hotel
社會,society
ゅ,Bleak
愛的,Love
靈魂,soul
確認,confirm
上車,boarding
殿下,His Highness
並且,and
因,because
э,bleak
記者,reporter
哥們,Buddy
一遍,Over
空,
对,right
造成,cause
上班,work
冷,cold
à,à
蛋,Egg
麵,noodle
一杯,A cup
筽,Bleak
學生,student
醚,ether
矗,Stall
份,share
放心,rest assured
惡,evil
them,them
兵,Soldier
环,ring
據,according to
根據,according to
警方,police
難以,difficult
說話,say
特,special
校對,Proofed
前面,Front
or,ordered
一塊,piece
員,member
找個,Find a
假,Fake
est,eSt
湯姆,Tom
某,certain
可惜,pity
鳥,bird
一半,half
意味著,mean
究竟,after all
安靜,Quiet
你別,Don't
奶奶,grandmother
拿走,Take away
一張,One
屍體,Corpse
還給,Return
者,By
趕,Rush
下午,afternoon
這也,It also
作,do
包括,include
ms,MS
失望,disappointment
back,back
病,sick
不敢相信,unbelievable
差點,Almost
亨利,Henry
瘋子,madman
介紹,introduce
超,overtake
埃,Egypt
謊,lie
斯特,Scoring
gonna,Gonna
惹,provoke
課,class
逮捕,arrest
让,Let
尼克,Nick
垃圾,Rubbish
顿,pause
俱,all
走開,Go away
班,class
恐怖,fear
我馬上,I'm right
籔,Bleak
聲,Voice
勁,strength
越來,Increasing
レ,Bleak
臭,Smelly
恢,Recover
怎,How
愉快,joy
眎,Bleak
這場,This game
表現,Performance
斗,fight
英國,U.K.
教堂,church
詞,word
盯,stare
公寓,apartment
were,wee
厨,kitchen
一句,One sentence
new,new
子,son
做過,Do
非称,Be non -name
不少,Many
不准,Be unbounded
充滿,full
麥克,Microphone
巴黎,Paris
經歷,experience
短,short
主人,Owner
奧,Oh
破壞,destroy
公平,fair
關於,about
收拾,tidy
獲得,get
地獄,hell
by,by
大衛,David
瓆,Bleak
going,going
糶,Bleak
okay,okay
爲,for
啤酒,beer
一把,One
節目,programme
死去,Die
創造,create
还,return
為止,until
上床,Go to bed
以后,after
穿著,Wearing
同一,same
好看,nice
感情,emotion
幾,Several
快來,Coming
和平,Peace
表示,express
耻,shame
辛苦,Hard
fnsimhei,fnsimhei
做好,Do well
jhenghei,jhenghei
靠近,near
睼,Bleak
好極,excellent
ま,Bleak
沒見過,never seen it
就行了,It's okay
這一點,at this point
浪費,waste
愚蠢,madness
高興見,Be happy
阑,Lapse
私人,private
been,ben
退,retreat
足夠,enough
腞,Bleak
健康,healthy
愛情,love
很漂亮,very beautiful
竊,steal
當你,You
de,de
早安,Good morning
通常,usually
以來,since
盉,Bleak
並,and
不應,Not
多年,for many years
一會,a while
風,wind
单单,only
急,urgent
好玩,Fun
堵,Blocking
火車,train
心情,Feeling
不介意,do not mind
а,bleak
法官,Judge
讀,read
璣,Sanctuary
運,transport
幾天,Several days
這點,this point
有意思,interesting
令,make
冠,crown
提醒,remind
黑人,Black person
大哥,Big brother
吻,kiss
then,then
キ,Bleak
j,J
儘,Fully
探員,Agent
時刻,time
氣,gas
秒,second
デ,Bleak
命,Life
電話給,Call
生,pregnancy
look,look
κ,bleak
前進,go ahead
比利,Belgian
紆,Bleak
パ,Bleak
兇手,murderer
作品,work
怪物,monster
恐懼,fear
隊長,team leader
生物,biology
could,could
虫,insect
洱洱,Paperous
超級,super
